row_index,sheet,title_or_first_col,fit_score(0-10),matched_areas,risk(0-10),short_description_snippet
38,Sheet1,40,3.15,"signal, cv, data",0, 40 ministry of earth sciences (moes) floatchat - ai-powered conversational interface for argo ocean data discovery and visualization software sih25040 miscellaneous sheet1...
24,Sheet1,26,2.18,"ml, robotics_iot",1, 26 ministry of ayush develop api code to integrate namaste and or the international classification of diseases (icd-11) via the traditional medicine module 2 (tm2) into existing emr systems that comply with electronic health record (ehr) standards for india. software sih25026 me...
47,Sheet1,49,2.1,"security, robotics_iot",1, 49 government of odisha al-driven public health chatbot for disease awareness software sih25049 medtech / biotech / healthtech sheet1...
45,Sheet1,47,2.1,"security, robotics_iot",1, 47 government of odisha disaster response drone for remote areas hardware sih25047 robotics and drones sheet1...
71,Sheet1,73,1.85,"mobile, nlp",1, 73 ministry of youth affairs and sports al-powered mobile platform for democratizing sports talent assessment software sih25073 fitness & sports sheet1...
3,Sheet1,5,1.21,ml,1," 5 ministry of fisheries, animal husbandry & dairying lmage based animal type classification for cattle and buffaloes software sih25005 agriculture, foodtech & rural development sheet1..."
34,Sheet1,36,1.21,ml,3, 36 ministry of earth sciences (moes) development of sensor for detection of microplastics hardware sih25036 miscellaneous sheet1...
82,Sheet1,84,1.21,ml,1, 84 government of kerala solution for non-revenue loss in water supply solution to improve awareness in water conservation treatment of waste water and reuse for domestic purposes hardware sih25085 miscellaneous sheet1...
56,Sheet1,58,1.21,ml,1," 58 ministry of consumer affairs, food & public distribution (moca,f&pd) detection and prevention of tampering in weighing and measuring instruments hardware sih25058 miscellaneous sheet1..."
91,Sheet1,93,1.21,ml,1," 93 autodesk students are tasked with designing a 4-story commercial office building using revit architecture and revit structure , ensuring effective integration between architectural and structural models in a bim environment.(the size of the plot can be assumed by the students..."
89,Sheet1,91,1.21,ml,1," 91 autodesk • students are supposed to use fusion software to generate nc code with machine details & tool library for any industrial component. • students should possess technical skills in areas such as cad/cam software, g-code programming, toolpath optimization, and machining..."
93,Sheet1,95,1.21,ml,1, 95 mathworks india pvt. ltd. accelerating high-fidelity road network modeling for indian traffic simulations. software sih25100 smart education sheet1...
35,Sheet1,37,1.13,cv,1, 37 ministry of earth sciences (moes) development of a low-cost camera-based automated beach sand grain size mapping system hardware sih25037 miscellaneous sheet1...
29,Sheet1,31,1.13,cv,1, 31 government of jharkhand crowdsourced civic lssue reporting and resolution system software sih25031 clean & green technology sheet1...
28,Sheet1,30,1.13,cv,1," 30 government of jharkhand al-based crop recommendation for farmers software sih25030 agriculture, foodtech & rural development sheet1..."
27,Sheet1,29,1.13,cv,1, 29 government of jharkhand authenticity validator for academia software sih25029 smart education sheet1...
26,Sheet1,28,1.13,cv,1, 28 government of jharkhand smart classroom & timetable scheduler software sih25028 smart education sheet1...
25,Sheet1,27,1.13,security,1," 27 ministry of ayush develop a blockchain-based system for botanical traceability of ayurvedic herbs, including geo-tagging from the point of collection (farmers/wild collectors) to the final ayurvedic formulation label. software sih25027 blockchain & cybersecurity sheet1..."
30,Sheet1,32,1.13,cv,1, 32 government of jharkhand development of a smart digital platform to promote eco & cultural tourism in jharkhand software sih25032 travel & tourism sheet1...
64,Sheet1,66,1.13,security,1, 66 ministry of jal shakti development of an al-driven chatbot for ingres as a virtuall assistant software sih25066 smart automation sheet1...
97,Sheet1,99,1.13,security,1, 99 government of rajasthan language agnostic chatbot software sih25104 smart education sheet1...
33,Sheet1,35,1.05,nlp,1, 35 ministry of corporate affairs sentiment analysis of comments received through e-consultation module software sih25035 miscellaneous sheet1...
